af15ARAP3H4,Nav,Up,5,5
eE9tV1WGTgE,Lenka,Everything at Once,5,2
tLKb_fJZS9I,ella vos,you dont know about me,5,1
TyylUeaTT10,2 Chainz, 4AM,4,3
djV11Xbc914,a-ha,Take On Me,5,3
nfs8NYg7yQM,Charlie Puth,Attention,5,5
tk7Cp6iVlZQ,A-Boogie,Say A,5,5
dQw4w9WgXcQ,Rick Astley,Never Gonna Give You Up,5,4
fTdlF0qP8lE,Lil Uzi Vert,How To Talk,5,5
ST86JM1RPl0,Tears For Fears,Everybody Wants To Rule The World,5,2
OlH1RCs96JA,Kygo,FirstTime,5,1
KCy7lLQwToI,Journey,Don't Stop Believing,5,2
1G4isv_Fylg,ColdPlay,Paradise,5,2
WnMiXsRtsfc,Led Zeppelin,What Is And What Should Never Be,5,2
oKu2FVy0oUo,Lil Uzi Vert,The Way Life Goes,5,2
q6-ZGAGcJrk,The Living Tombstone,Spooky Scary Skeletons,5,4
OPf0YbXqDm0,Mark Ronson,Uptown Funk ft. Bruno Mars,3,4
dT2owtxkU8k,Shawn Mendes,There's Nothing Holding Me Back,5,5
S9bCLPwzSC0,Eminem,Mockingbird,5,3
HCjNJDNzw8Y,Camila Cabello,Havana,5,2
MmZexg8sxyk,MGMT,Electric Feel,5,4
g0k58pfIyQ8,Ryoga,Believe in magic,5,1
RkMNfaBFXM8,Naruto Shippuden,Naruto Shippuden Offical Opening 3,5,5
cycUHgg0zzU,Logic,1-800-273-8255,5,3
WDZJPJV__bQ,Beyonce,Formation,5,3
iOKV9Stri_M,Tool,Vicarious,3,4
kfVsfOSbJY0,Rebecca Black,Friday,5,1
_xqnqmB4QxE,Logic,Fadeaway,5,3
ljXSjIph5ZM,Niall Horan,Too Much To Ask,5,2
tLKb_fJZS9I,ella vos,you dont know about me,5,1
Pw-0pbY9JeU,twentyonepilots,Ride,4,5
dQw4w9WgXcQ,Rick Astley,Never Gonna Give You Up,5,1
QK8mJJJvaes,MACKLEMORE,THRIFT SHOP,4,4
5hXShNmEc44,YO GOTTI,Rack It Up,3,5
astISOttCQ0,gummy bear,gummy bear song,5,1
k4YRWT_Aldo,Beyoncé,sorry,5,1
qBB_QOZNEdc,Hailee Steinfeld,Most Girls,5,2
zmFm9Yp80dE,Travis Scott,beibs in the trap,4,5
PfYnvDL0Qcw,Lazy Town,We Are Number One,5,2
u4cFNwqX8hA,Nicki Minaj,Starships,5,5
joDeeXeh5cg,David Glen Eisley,Sweet Victory,5,1
uY8xv2rRqiU,Unknown,aboody ss,2,2
WibQR0tQ0P8,Kanye West,Only One,5,5
3tmd-ClpJxA,Taylor Swift,Look What You Made Me Do,1,2
UqyT8IEBkvY,Bruno Mars,24K magic,5,1
P6ESEvXiMPw,Grandayy,We Are Number One but it's Darude - Sandstorm,5,4
hSlb1ezRqfA,Jake Paul,It's Everyday Bro,1,4
kfVsfOSbJY0,Rebecca Black,Friday,1,3
OVMuwa-HRCQ,Tristam,Flight,4,2
jmhoOp2fUzg,Harry Chapin,Cat's in the Cradle,5,4
6UXMIvNeltA,Coast Modern,Frost,3,1
iKzRIweSBLA,Ed Sheeran,Perfect,4,4
ih-8K1a_SsA,The Beatles,Let It Be,5,1
cycUHgg0zzU,Logic,1-800-273-8255,5,2
7uyF_RoXAQg,Mr Scruff,Kalimba,5,2
bqpA5Acc8-c,Aly & AJ,Potential Breakup Song,5,5
6q3o_Loa0tA,Lonzo Ball,ZO2,5,3
OmLNs6zQIHo,Birdy,People Help The People,5,2
a01QQZyl-_I,Queen,Under Pressure,5,1
Kp7eSUU9oy8,Childish Gambino,Redbone,5,5
imgYGfH2yNM,J. Cole,No Role Models,5,2
OxlJLz9M8hQ,Tamale,Tyler the Creator,4,5
Qzw6A2WC5Qo,skillet,invincible,5,5
E5ONTXHS2mM,Desiigner,Panda,5,3
Za22UVJS0C0,Acrylo,When the world is about to end but Magnolia comes on,5,1
bRWQckbQ9tQ,BumpOfChicken,Answer,5,3
_Yhyp-_hX2s,Eminem,Lose Yourself,4,3
CAMWdvo71ls,Stromae,Tous Les Mêmes,5,5
Tm8LGxTLtQk,Linkin Park,One More Light,5,5
_Yhyp-_hX2s,Eminem,Lose Yourself,5,2
1E1qflH5bEk,Tongo,Pan con aji,5,5
fPRmnIzMr94,the front bottoms,lipstick covered magnet,5,3
PfYnvDL0Qcw,Lazy Town,We Are Number One,3,1
oPvgWVn8SHY,BTS,고민보다 Go,5,4
Y963o_1q71M,DJ Bravo,champion,4,1
L_jWHffIx5E,Smash Mouth,All Star,5,2
aowSGxim_O8,Tom Petty,Mary Jane's Last Dance,5,3
